StationID, CoordinateX, CoordinateY, 2020-2024, 2025-2029, 2030-2034, 2035-2039, 2040-2044
N2542, -75.666249268, 40.0678370834, 0, 0, 1, 1, 1
N2543, -75.4148955199, 40.0900809842, 0, 0, 0, 0, 0
N2544, -75.4141377224, 40.0902731063, 2, 2, 2, 2, 2
N2545, -75.4087017379, 40.0917130972, 0, 0, 0, 0, 1
N2546, -74.751246578, 40.0949230644, 0, 0, 1, 1, 1
N2547, -74.7287067319, 40.0976710895, 0, 0, 0, 0, 0
N2548, -87.0379254013, 40.0995063855, 2, 4, 6, 9, 11
N2549, -74.7220467432, 40.1044660693, 10, 27, 63, 116, 160
N2550, -74.9966817348, 40.1080660887, 0, 0, 0, 0, 1
N2551, -82.9775757217, 40.1113330874, 0, 0, 12, 18, 23
N2552, -76.7846927943, 40.1120115053, 1, 1, 1, 1, 1
N2553, -83.0166807111, 40.1121340775, 0, 0, 0, 0, 0
N2554, -83.0353467212, 40.1123231069, 0, 0, 0, 0, 8
N2555, -75.2771217279, 40.113106099, 0, 0, 0, 0, 0
N2556, -80.4560963118, 40.1149861947, 0, 0, 0, 0, 2
N2557, -88.3052247334, 40.1198110844, 0, 2, 2, 3, 3
N2558, -87.4517367416, 40.1206931116, 0, 4, 7, 11, 14
N2559, -87.7265117648, 40.1274200972, 2, 2, 2, 2, 3
N2560, -88.008403886, 40.1200243344, 2, 2, 3, 5, 6
N2561, -79.0142187387, 40.1284240733, 2, 3, 4, 4, 4
N2562, -79.0143897277, 40.1290270759, 0, 0, 0, 6, 6
N2563, -79.3158083024, 40.1218660731, 0, 0, 0, 0, 0
N2564, -74.8891758934, 40.1291471345, 0, 0, 0, 0, 0
N2565, -76.5232297069, 40.1291279151, 1, 1, 1, 1, 1
N2566, -74.9671437144, 40.1312770988, 1, 1, 1, 1, 1
N2567, -118.508408082, 40.1377479034, 0, 0, 0, 0, 0
N2568, -88.2837057402, 40.1460461089, 0, 3, 5, 6, 6
N2569, -76.1857935172, 40.1465340145, 0, 0, 1, 1, 1
N2570, -104.979505933, 40.1573334667, 0, 0, 0, 0, 0
N2571, -80.1951627479, 40.1611210991, 0, 0, 0, 0, 0
N2572, -75.8980677339, 40.161427079, 0, 0, 0, 0, 4
N2573, -75.1231083327, 40.1614544193, 1, 1, 1, 1, 1
N2574, -79.8937699189, 40.110272123, 2, 2, 3, 5, 6
N2575, -74.1003537431, 40.1703010925, 1, 1, 1, 1, 1
N2576, -74.3518248698, 40.1548002051, 1, 1, 1, 1, 1
N2577, -77.5275867259, 40.1767570242, 2, 3, 4, 4, 4
N2578, -89.4161217391, 40.1783560755, 1, 2, 3, 4, 5
N2579, -74.7218217157, 40.1827660837, 0, 0, 0, 0, 0
N2580, -75.9186057071, 40.1849621103, 0, 0, 1, 1, 1
N2581, -86.5626537908, 40.1851505516, 0, 0, 0, 0, 0
N2582, -80.2449687163, 40.1879680835, 1, 2, 2, 3, 4
N2583, -95.3539977365, 40.1892190863, 0, 3, 5, 7, 9
N2584, -104.28880877, 40.1905887709, 1, 2, 3, 4, 5
N2585, -86.1281437371, 40.1929375743, 0, 0, 0, 0, 0
N2586, -74.8787097255, 40.1930620899, 1, 1, 1, 1, 1
N2587, -74.6006187481, 40.1934221083, 0, 0, 0, 0, 0
N2588, -76.975250738, 40.1955100994, 0, 0, 0, 34, 45
N2589, -84.204931676, 40.2044313094, 0, 0, 0, 0, 37
N2590, -111.658865725, 40.2077141073, 0, 3, 4, 6, 7
N2591, -74.7676047343, 40.2091181001, 0, 0, 0, 1, 1
N2592, -76.7072659299, 40.2095140446, 0, 0, 0, 0, 5
N2593, -76.7529312506, 40.2105507363, 0, 0, 0, 0, 0
N2594, -76.7602497095, 40.1993980997, 0, 0, 0, 0, 0
N2595, -76.879067747, 40.2117191005, 2, 4, 7, 7, 7
N2596, -94.0132712442, 40.2145933184, 0, 0, 0, 0, 0
N2597, -76.7866647216, 40.2147070746, 0, 0, 0, 4, 4
N2598, -76.0832602387, 40.2186018603, 0, 5, 9, 14, 17
N2599, -76.7878437292, 40.2192970713, 0, 0, 0, 0, 0
N2600, -79.6021977362, 40.2193781083, 3, 9, 19, 34, 45
N2601, -76.7575137182, 40.2253990973, 0, 0, 0, 0, 0
N2602, -88.5385525082, 40.226597041, 0, 0, 0, 3, 4
N2603, -80.6642388281, 40.2273074839, 0, 0, 0, 0, 0
N2604, -77.1344898985, 40.2280551496, 0, 0, 0, 0, 0
N2605, -76.3957727746, 40.2261556286, 0, 0, 0, 0, 0
N2606, -76.9325637291, 40.2315910744, 0, 5, 9, 9, 9
N2607, -76.9776267109, 40.2378100914, 1, 1, 1, 1, 1
N2608, -76.8948267354, 40.2385300868, 0, 0, 0, 0, 0
N2609, -78.4595377991, 40.2404444862, 1, 2, 3, 4, 5
N2610, -75.6164131363, 40.2338577571, 1, 1, 1, 1, 1
N2611, -87.4235271521, 40.2451481806, 2, 2, 2, 2, 2
N2612, -103.8989195, 40.2448763165, 0, 0, 0, 0, 0
N2613, -76.8117657352, 40.252894081, 0, 1, 2, 2, 2
N2614, -83.0668467403, 40.26120109, 0, 0, 0, 0, 0
N2615, -75.9150867247, 40.2622721043, 0, 0, 0, 0, 0
N2616, -122.266956059, 40.2644231009, 0, 4, 7, 9, 12
N2617, -123.847986806, 40.2644280499, 0, 1, 1, 1, 1
N2618, -75.9143217326, 40.2716050886, 1, 1, 1, 1, 1
N2619, -75.9143037335, 40.2716140881, 0, 0, 0, 0, 0
N2620, -77.0020617253, 40.2743500785, 0, 5, 9, 16, 20
N2621, -78.856023675, 40.2745693719, 0, 0, 0, 0, 6
N2622, -89.2056334195, 40.2822932263, 0, 0, 0, 0, 0
N2623, -74.6960367461, 40.2834760758, 0, 0, 0, 0, 0
N2624, -81.5530334957, 40.2847037457, 0, 3, 5, 7, 9
N2625, -85.5584070772, 40.297846876, 0, 0, 8, 13, 14
